Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",Chandler,Powerful,2,20
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",Chandler,Powerful,2,22
Y'miss it?,Joey,Neutral,2,23
"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",Chandler,Scared,2,24
Hi.. how was the game?,Monica,Neutral,6,0
Well..,Ross,Neutral,6,1
WE WON!! Thank you! Yes!,#ALL#,Joyful,6,2
Fantastic! I have one question: How is that possible?,Monica,Joyful,6,3
Alan.,Joey,Neutral,6,4
"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",Ross,Joyful,6,5
"I mean, it-it was like, it was like he made us into a team.",Rachel,Sad,6,6
"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",Chandler,Joyful,6,7
Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,Monica,Scared,6,8
What?,Ross,Neutral,6,9
"..I dunno, a little too Alan?",Monica,Neutral,6,10
"Well, no. That's impossible. You can never be too Alan.",Rachel,Mad,6,11
"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",Ross,Joyful,6,12
I personally could have a gallon of Alan.,Chandler,Joyful,6,13
"Hey, Lizzie.",Phoebe,Neutral,7,0
"Hey, Weird Girl.",Lizzy,Neutral,7,1
I brought you alphabet soup.,Phoebe,Neutral,7,2
Did you pick out the vowels?,Lizzy,Neutral,7,3
"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you.",Phoebe,Neutral,7,4
Saltines?,Lizzy,Neutral,7,5
"No, but would you like a thousand dollars and a football phone?",Phoebe,Neutral,7,6
"What? Oh my God, there's really money in here.",Lizzy,Joyful,7,7
I know.,Phoebe,Neutral,7,8
"Weird Girl, what are you doing?",Lizzy,Neutral,7,9
"No, I want you to have it. I don't want it.",Phoebe,Neutral,7,10
"No, no, I ha-I have to give you something.",Lizzy,Neutral,7,11
"Oh, that's fine, no.",Phoebe,Neutral,7,12
Would you like my tin-foil hat?,Lizzy,Joyful,7,13
"No. 'Cause you need that. No, it's okay, thanks.",Phoebe,Neutral,7,14
"Please, let me do something.",Lizzy,Neutral,7,15
"Okay, alright, you buy me a soda, and then we're even. Okay?",Phoebe,Neutral,7,16
Okay.,Lizzy,Neutral,7,17
Okay.,Phoebe,Neutral,7,18
A thumb?!,Ross,Neutral,9,0
Eww!,#ALL#,Scared,9,2
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",Phoebe,Mad,9,3
"Well, maybe it's a contest, y'know? Like, collect all five?",Chandler,Neutral,9,4
"Does, um, anyone wanna see?",Phoebe,Neutral,9,5
Nooo!,#ALL#,Scared,9,6
"Oh, hey, don't do that! Cut it out!",#ALL#,Scared,9,8
It's worse than the thumb!,Rachel,Scared,9,9
"Hey, this is so unfair!",Chandler,Neutral,9,10
"Oh, why is it unfair?",Monica,Neutral,9,11
"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",Chandler,Scared,9,12
...Does the knuckle-cracking bother everybody?,Joey,Sad,9,14
"Well, I-I could live without it.",Rachel,Neutral,9,15
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",Joey,Neutral,9,16
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",Ross,Joyful,9,18
"Oh, ""you do, do you""?",Joey,Joyful,9,19
"You know, there's nothing wrong with speaking correctly.",Ross,Neutral,9,21
"""Indeed there isn't""... I should really get back to work.",Rachel,Neutral,9,22
"Yeah, 'cause otherwise someone might get what they actually ordered.",Phoebe,Neutral,9,23
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",Rachel,Mad,9,24
Did you ever go out with a guy your friends all really like?,Monica,Neutral,10,0
No.,Paula,Neutral,10,1
"Okay.. Well, I'm going out with a guy my friends all really like.",Monica,Peaceful,10,2
"Waitwait.. we talking about the coyotes here? All right, a cow got through!",Paula,Joyful,10,3
"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",Monica,Scared,10,4
"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",Paula,Powerful,10,5
I know.. it's gonna be really hard.,Monica,Sad,10,6
"Well, he's a big boy, he'll get over it.",Paula,Powerful,10,7
"No, he'll be fine. It's the other five I'm worried about.",Monica,Sad,10,8
Do you have any respect for your body?,Joey,Neutral,11,0
Don't you realise what you're-you're doing to yourself?,Ross,Mad,11,1
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",Chandler,Mad,11,2
"Chandler? It's Alan, he wants to speak to you.",Rachel,Neutral,11,3
"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",Chandler,Joyful,11,4
"God, he's good.",Rachel,Peaceful,11,5
If only he were a woman.,Ross,Sad,11,6
Yeah.,Rachel,Neutral,11,7
Wow.,Alan,Joyful,13,0
"I'm, I'm really sorry.",Monica,Sad,13,1
"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",Alan,Peaceful,13,2
Relieved?,Monica,Neutral,13,3
"Yeah, well, I had a great time with you.. I just can't stand your friends.",Alan,Mad,13,4
Remember when we went to Central Park and rented boats?.. That was fun.,Rachel,Peaceful,14,0
Yeah. He could row like a viking.,Ross,Powerful,14,1
Hi.,Monica,Neutral,14,2
Mmm.,#ALL#,Peaceful,14,3
So how'd it go?,Ross,Neutral,14,4
"Oh, y'know..",Monica,Sad,14,5
Did he mention us?,Phoebe,Scared,14,6
He said he's really gonna miss you guys.,Monica,Sad,14,7
"You had a rough day, huh.. c'mere.",Ross,Peaceful,14,8
...That's it. I'm getting cigarettes.,Chandler,Powerful,14,9
No no no!,#ALL#,Mad,14,10
"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",Chandler,Scared,14,11
If you never smoke again I'll give you seven thousand dollars!,Phoebe,Powerful,14,12
"Yeah, alright.",Chandler,Neutral,14,13
Alright. Phoebe?,Monica,Neutral,1,0
"Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!",Phoebe,Joyful,1,1
"Yeah, see.. you took mine. Chandler, what about you?",Ross,Joyful,1,2
"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",Chandler,Joyful,1,3
"See, there's always one guy. ""If I had a wish, I'd wish for three more wishes.""",Rachel,Joyful,1,4
"Hey Joey. Hi. Hey, buddy.",#ALL#,Joyful,1,5
"Hey, Joey, what would you do if you were omnipotent?",Monica,Neutral,1,6
Probably kill myself!,Joey,Neutral,1,7
..Excuse me?,Monica,Neutral,1,8
"Hey, if Little Joey's dead, then I got no reason to live!",Joey,Sad,1,9
"Joey, uh- OMnipotent.",Ross,Neutral,1,10
"You are? Ross, I'm sorry..",Joey,Sad,1,11
...Poulet passes it up to Leetch!,Chandler,Joyful,3,0
Leetch spots Messier in the crease- there's the pass!,Joey,Joyful,3,1
We'll take a brief time out while Messier stops to look at some women's shoes.,Chandler,Neutral,3,2
"Carol was wearing boots just like those the night that we- we first- y'know. Fact, she, uh- she never took'em off, 'cause we-we- Sorry. Sorry.",Ross,Neutral,3,3
What?,Joey,Neutral,3,5
Peach pit.,Ross,Neutral,3,6
"Yes, Bunny?",Chandler,Joyful,3,7
"Peach pit. That night we, uh- we had-",Ross,Neutral,3,8
-Peaches?,Joey,Joyful,3,9
"Actually, nectarines, but basically...",Ross,Joyful,3,10
Could've been a peach.,Chandler,Joyful,3,11
"Then, uh, then we got dressed, and I-I... I walked her to the- -the bus stop... I'm fine.",Ross,Neutral,3,12
"Hey, that woman's got an ass like Carol's! What? Thought we were trying to find stuff.",Joey,Joyful,3,13
"So c'mon, you guys, tell me all the dirt!",Rachel,Joyful,4,0
"Well, the biggest news is still you dumping Barry at the altar!",Kiki,Joyful,4,1
Alright. Let's talk reality for a second.,Joanne,Neutral,4,2
Okay.,Rachel,Neutral,4,3
When are you coming home?,Joanne,Neutral,4,4
"What? Guys, I'm not.",Rachel,Mad,4,5
"C'mon, this is us.",Joanne,Neutral,4,6
I'm not! This is what I'm doing now. I've got this job-,Rachel,Mad,4,7
Waitressing?,Kiki,Neutral,4,8
"Okay, I'm not just waitressing. I'm.. I, um... I write the specials on the specials board, and, uh... and I, uh... I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies.",Rachel,Neutral,4,9
Well. Your mom didn't tell us about the blobbies.,Leslie,Neutral,4,10
"Hey, Rach. How was it with your friends? Okay! How would you like some Tiki Death Punch?",Monica,Joyful,5,0
What's that?,Rachel,Neutral,5,1
"Weeeell, it's rum, and-",Monica,Neutral,5,2
Okay.,Rachel,Neutral,5,3
"We thought since Phoebe was staying over tonight we'd have kinda like a slumber party thing. We got some trashy magazines, we got cookie dough, we got Twister...",Monica,Joyful,5,4
"Ooh! Ooh! And I brought Operation! But, um, I lost the tweezers, so we can't operate. But we can prep the guy!",Phoebe,Joyful,5,5
"Uh, Rach, it's the Visa card people.",Monica,Neutral,5,6
"Oh, God, ask them what they want.",Rachel,Scared,5,7
"Could you please tell me what this is in reference to? Yes, hold on. Um, they say there's been some unusual activity on your account.",Monica,Neutral,5,8
But I haven't used my card in weeks!,Rachel,Scared,5,9
"That is the unusual activity. Look, they just wanna see if you're okay.",Monica,Joyful,5,10
"They wanna know if I'm okay. Okay.. they wanna know if I'm okay, okay, let's see. Well, let's see, the FICA guys took all my money, everyone I know is either getting married, or getting promoted, or getting pregnant, and I'm getting coffee! And it's not even for me! So if that sounds like I'm okay, okay, then you can tell them I'm okay, okay?",Rachel,Mad,5,11
"Uh- Rachel has left the building, can you call back?",Monica,Neutral,5,12
"Alright, c'mon! Let's play Twister!",Rachel,Sad,5,13
You should feel great about yourself! You're doing this amazing independence thing!,Monica,Joyful,7,0
"Monica, what is so amazing? I gave up, like, everything. And for what?",Rachel,Sad,7,1
You are just like Jack.,Phoebe,Neutral,7,2
...Jack from downstairs?,Rachel,Neutral,7,3
"No, Jack and the Beanstalk.",Phoebe,Neutral,7,4
"Ah, the other Jack.",Monica,Neutral,7,5
"Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..",Phoebe,Joyful,7,6
"Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-",Rachel,Neutral,7,7
"Oh, see, Jack did love the cow.",Phoebe,Neutral,7,8
"But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...",Rachel,Neutral,7,9
Floopy?,Phoebe,Neutral,7,10
Yeah.,Rachel,Neutral,7,11
"So what, you're not the only one. I mean, half the time we don't know where we're going. You've just gotta figure at some point it's all gonna come together, and it's just gonna be... un-floopy.",Monica,Neutral,7,12
"Oh, like that's a word.",Phoebe,Neutral,7,13
"Okay, but Monica, what if- what if it doesn't come together?",Rachel,Scared,7,14
...Pheebs?,Monica,Neutral,7,15
"Oh, well... 'cause.... you just... I don't like this question.",Phoebe,Neutral,7,16
"Okay, see, see, you guys, what if we don't get magic beans? I mean, what if all we've got are.. beans?",Rachel,Neutral,7,17
"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!",Ross,Mad,8,0
"See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.",Chandler,Neutral,8,1
Pass it! Pass it!,Ross,Powerful,8,2
He's open!,Chandler,Joyful,8,3
Shoot! Shoot! Shoot!,#ALL#,Joyful,8,4
"Hey, look, we're on that TV thing!",Chandler,Joyful,8,6
'Scuse me.,Chandler,Neutral,9,0
"It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.",Receptionist,Mad,9,1
"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.",Chandler,Mad,9,2
"Hold on. Fill these out, sit over there.",Receptionist,Mad,9,3
"Look, I don't wanna make any trouble, okay, but I'm in a lot of pain here, alright? My face is dented.",Ross,Mad,9,4
"Well, you'll have to wait your turn.",Receptionist,Mad,9,5
"Well, how long do you think it'll be?",Joey,Neutral,9,6
Any minute now.,Receptionist,Mad,9,7
"Hey, this- Heyy...",Ross,Mad,9,8
Light still out?,Monica,Neutral,12,0
Yeah.,Rachel,Neutral,12,1
Oh. Maybe they're- napping.,Monica,Neutral,12,2
"Oh please, they're having sex.",Rachel,Joyful,12,3
Shut up!,Monica,Mad,12,4
"So, whaddya think George is like?",Rachel,Neutral,12,5
I think he's shy.,Monica,Neutral,12,6
Yeah?,Phoebe,Neutral,12,7
Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal.,Monica,Neutral,12,8
I remember the moonlight coming through the window- and her face had the most incredible glow.,Ross,Peaceful,13,0
"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?",Chandler,Mad,13,1
"He's right, enough, already. What is the big deal about today? So you slept with her for the first time, so what? You slept with her for seven years after that.",Joey,Neutral,13,2
"Look, it's just a little more complicated...",Ross,Scared,13,3
"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?",Chandler,Joyful,13,4
"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",Ross,Mad,13,5
Then what?,Chandler,Neutral,13,6
My first time with Carol was...,Ross,Scared,13,7
What?,Joey,Neutral,13,8
It was my first time.,Ross,Sad,13,9
With Carol? Oh.,Joey,Neutral,13,10
"So in your whole life, you've only been with one oh.",Chandler,Neutral,13,11
"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!",Joey,Joyful,13,12
"Okay. Okay, I got one. Do you remember that vegetarian pate that I made that you loved so much?",Monica,Joyful,14,0
Uh-huh.,Phoebe,Neutral,14,1
"Well, unless goose is a vegetable...ha haaaah!",Monica,Joyful,14,2
"Oh! Oh! Oh! Okay, fine, fine. Now I don't feel so bad about sleeping with Jason Hurley.",Phoebe,Mad,14,3
What?! You slept with Jason?,Monica,Mad,14,4
You'd already broken up.,Phoebe,Neutral,14,5
How long?,Rachel,Neutral,14,6
A couple hours.,Phoebe,Neutral,14,7
"Oh, that's nice!",Monica,Mad,14,8
"Okay, okay, okay, I got one! Anyway- The valentine Tommy Rollerson left in your locker was really from me.",Rachel,Powerful,14,9
Excuse me?!,Monica,Mad,14,10
Hello? Like he was really gonna send you one? She was a big girl.,Rachel,Joyful,14,11
"Really. Well, at least 'big girls' don't pee in their pants in seventh grade!",Monica,Mad,14,12
I was laughing! You made me laugh!,Rachel,Mad,14,13
There he is! There he is!,Phoebe,Joyful,14,14
Where?,Monica,Neutral,14,15
Right- where we've been looking all night!,Phoebe,Joyful,14,16
He is so cute!,Rachel,Joyful,14,17
"Oh, George, baby, drop the towel!",Monica,Joyful,14,18
"Yeah, drop it! Drop the towel! Please drop the wowww.",#ALL#,Joyful,14,19
Man. Can you believe he's only had sex with one woman?,Joey,Joyful,15,0
"I think it's great. Y'know, it's sweet, it's romantic...",Chandler,Neutral,15,1
Really?,Joey,Scared,15,2
"No, you kidding? The guy's a freak..",Chandler,Powerful,15,3
"Hey, buddy.",Both,Neutral,15,4
Hi.,Ross,Mad,15,5
"Oh, that's attractive.",Receptionist,Joyful,15,6
"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.",Chandler,Joyful,15,7
"Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?",Ross,Mad,15,8
"Oh, ah- the kid has it.",Joey,Neutral,15,9
"The kid...? Excuse me, uh, that's, that's my puck.",Ross,Mad,15,10
"I found it. Finders keepers, losers weepers.",Kid,Powerful,15,11
"You gotta do it, man.",Chandler,Powerful,15,12
"Oh yeah? Well, I'm rubber, you're glue, whatever can't do it. Listen, uh- gimme back my puck.",Ross,Powerful,15,13
No.,Kid,Powerful,15,14
"'Yes', how about. C'mere. Gimme!",Ross,Mad,15,15
No! No!,Kid,Mad,15,16
Hey! Hey! No rough holding in my ER!,Receptionist,Mad,15,17
GIVE ME MY PUCK!!,Ross,Mad,15,18
...Now that was fun.,Ross,Joyful,15,19
"Okay, Monica: Right foot red.",Ross,Joyful,16,0
"Could've played Monopoly, but nooooo.",Monica,Joyful,16,1
Thanks.,Chandler,Neutral,16,3
"Okay, Pheebs: Right hand blue. Good.",Ross,Joyful,16,4
